player,market_value_m,position,current_club_id
Eidur Gudjohnsen,0.2,Attack,2282
Carlton Cole,0.5,Attack,371
Ashley Cole,0.5,Defender,12
Stuart Taylor,0.25,Goalkeeper,180
Jermaine Pennant,0.5,Attack,512
Stathis Tavlaridis,0.15,Defender,265
Kolo Touré,1.75,Defender,371
David Bentley,3.0,Midfield,1083
Milan Baros,0.25,Attack,589
John Arne Riise,0.7,Defender,931
Nicolas Anelka,1.0,Attack,984
Chris,0.3,Defender,533
Rio Ferdinand,1.0,Defender,1039
Stephen Hughes,0.275,Midfield,370
Roberto Hilbert,0.1,Defender,15
Damien Duff,0.6,Midfield,931
Jérémie Aliadière,0.5,Attack,1158
Calvin Zola,0.3,Attack,370
Joseph Yobo,0.75,Defender,1123
Luke Young,0.5,Defender,1039
Matthew Upson,0.25,Defender,1003
Shola Ameobi,0.5,Attack,873
Steve Banks,0.05,Goalkeeper,2578
Gareth Barry,0.325,Midfield,984
Joey Barton,1.0,Midfield,1132
Paul Konchesky,0.25,Defender,1003
Craig Bellamy,1.0,Attack,603
Jonathan Walters,1.5,Attack,1132
Nicky Weaver,0.25,Goalkeeper,370
Luke Wilkshire,0.1,Defender,3725
Ben Williams,0.1,Goalkeeper,903
Wayne Rooney,2.0,Attack,985
James Milner,0.5,Midfield,1237
Jonathan Blondel,0.5,Midfield,2282
Sylvain Distin,0.75,Defender,989
Mark Schwarzer,0.5,Goalkeeper,1003
Kaká,1.0,Midfield,5
Markus Neumayr,0.2,Midfield,10484
Gábor Babos,0.05,Goalkeeper,132
Paul Scholes,1.0,Midfield,985
Phil Neville,1.0,Defender,29
Wes Brown,0.5,Defender,289
Ryan Giggs,1.0,Midfield,985
Pablo Aimar,0.5,Midfield,294
Rodrigo Tello,0.2,Attack,2292
Nicolás Burdisso,0.3,Defender,416
Dejan Stankovic,0.5,Midfield,46
Timmy Simons,0.1,Midfield,2282
Ragnvald Soma,0.1,Defender,2778
Zlatan Ibrahimović,2.0,Attack,5
Lomana LuaLua,0.2,Attack,19771
Jermaine Jenas,1.5,Midfield,1039
Kevin Stuhr-Ellegaard,0.1,Goalkeeper,1053
Shaun Wright-Phillips,0.1,Attack,1039
Thomas Sörensen,0.25,Goalkeeper,512
Brad Friedel,0.75,Goalkeeper,148
Hugo Viana,3.0,Midfield,1075
Dudu Aouate,0.1,Goalkeeper,237
Christian Abbiati,0.5,Goalkeeper,5
Mark van Bommel,0.8,Midfield,383
Sylvain Armand,0.25,Defender,273
Jan Polak,0.1,Midfield,82
Robert Vittek,0.15,Attack,6890
Roy Carroll,0.15,Goalkeeper,683
Ricardo,0.1,Goalkeeper,331
Luke Steele,0.15,Goalkeeper,265
John O'Shea,0.5,Defender,289
Darren Fletcher,1.0,Midfield,512
Kieran Richardson,1.5,Defender,405
Jerome Thomas,0.25,Attack,873
Steve Harper,0.25,Goalkeeper,289
Adam Collin,0.25,Goalkeeper,370
Steed Malbranque,0.2,Midfield,1162
Julien Escudé,0.8,Defender,114
Mickaël Landreau,1.75,Goalkeeper,595
Aaron Hughes,0.2,Defender,43
Steve Simonsen,0.125,Goalkeeper,511
Gary Naysmith,0.45,Defender,370
Jamie Carragher,1.0,Defender,31
Sean O'Hanlon,0.35,Defender,903
Tony Hibbert,0.5,Defender,29
Leon Osman,1.0,Midfield,29
Paul Robinson,0.25,Goalkeeper,1132
Ian Harte,0.15,Defender,1032
Mark Hudson,0.5,Defender,603
Jason Roberts,0.25,Attack,1032
Lloyd Dyer,0.25,Midfield,1010
Wayne Bridge,0.5,Defender,281
Jussi Jääskeläinen,0.15,Goalkeeper,379
Anton Ferdinand,0.3,Defender,465
Bernard Mendy,0.15,Defender,3911
Massimo Maccarone,0.15,Attack,749
Peter Enckelman,0.35,Goalkeeper,43
Kim Källström,0.8,Midfield,232
Georgios Theodoridis,0.25,Midfield,6418
Óscar Ustari,0.6,Goalkeeper,69261
Peter Whittingham,0.75,Midfield,603
Raúl Bravo,0.1,Defender,2079
George McCartney,1.0,Defender,379
Sam Parkin,0.2,Attack,465
Scott Parker,0.5,Midfield,931
Matthew Etherington,1.5,Midfield,512
Gary Caldwell,0.5,Defender,1071
Carlo Nash,0.25,Goalkeeper,1123
Richard Dunne,0.5,Defender,1039
Sofian Chahed,0.5,Defender,42
Malik Fathi,0.1,Defender,39
Gordon Greer,0.2,Defender,2553
Jay McEveley,0.4,Defender,2759
Boaz Myhill,0.35,Goalkeeper,984
Jan-Ingwer Callsen-Bracker,0.1,Defender,167
Andrew Davies,0.25,Defender,511
Jermain Defoe,0.4,Attack,124
Joe Cole,0.15,Midfield,405
Michael Carrick,1.0,Midfield,985
Glen Johnson,2.5,Defender,512
Eduardo,0.5,Attack,1147
Henri Camara,0.15,Attack,6418
Pierre-Alain Frau,0.25,Attack,750
Omar Daf,0.25,Defender,750
Pascal Feindouno,0.075,Attack,2292
Péguy Luyindula,0.6,Attack,583
Didier Drogba,0.5,Attack,631
Marama Vahirua,0.4,Attack,7185
Martin Lanig,0.6,Midfield,24
Henrik Pedersen,0.15,Attack,1177
Kevin Nolan,2.0,Midfield,379
Djibril Cissé,0.2,Attack,595
Domi Kumbela,0.25,Attack,1506
Svetoslav Todorov,0.3,Attack,6996
Iker Casillas,1.0,Goalkeeper,720
Dmitriy Sychev,0.025,Attack,12438
Gary O'Neil,0.5,Midfield,1123
Dirk Kuyt,1.5,Attack,234
Louis Saha,0.4,Attack,398
Daniel Baier,0.4,Midfield,167
Brad Jones,0.1,Goalkeeper,234
Dean Marney,0.8,Midfield,1132
Simon Davies,0.5,Midfield,931
Lee Barnard,0.25,Attack,180
Stewart Downing,0.2,Attack,641
Liam Ridgewell,0.5,Defender,984
Peter Crouch,1.0,Attack,1132
Luke Moore,0.7,Attack,2292
Darren Ambrose,0.3,Midfield,441
Frazer Richardson,0.35,Defender,180
Matthew Kilgallon,0.3,Defender,2999
Garry Monk,0.5,Defender,2288
Rory Delap,0.25,Midfield,512
Chris Baird,0.25,Midfield,984
Richie Ryan,0.1,Midfield,1519
Anthony Lurling,0.1,Midfield,132
Ricardo Quaresma,0.3,Attack,2420
Brian Murphy,0.01,Goalkeeper,603
Rafael van der Vaart,0.2,Midfield,3426
Bobby Zamora,0.75,Attack,1039
Dominik Reinhardt,0.05,Defender,167
Florent Sinama-Pongolle,0.25,Attack,1519
Anthony Le Tallec,0.25,Attack,3060
David Fox,0.25,Midfield,1123
Adam Federici,0.25,Goalkeeper,989
Joleon Lescott,1.0,Defender,2441
Diego,0.3,Midfield,36
Callum Davidson,0.15,Defender,2578
Samuel Eto'o,1.0,Attack,2293
Tim Howard,0.3,Goalkeeper,29
Carlos Tevez,0.3,Attack,506
Philippe Senderos,0.3,Defender,124
Bogdan Lobont,0.1,Goalkeeper,12
Maarten Stekelenburg,0.075,Goalkeeper,610
Cristian Chivu,0.8,Defender,46
Johnny Heitinga,1.0,Defender,610
Petri Pasanen,0.1,Defender,678
Maxwell,1.0,Defender,583
Steven Pienaar,0.5,Midfield,289
Jelle Van Damme,0.1,Defender,1096
Nourdin Boukhari,0.2,Midfield,235
Jelle ten Rouwelaar,0.25,Goalkeeper,132
Kasper Bögelund,0.25,Defender,1053
Wilfred Bouma,1.0,Defender,383
Michael Lamey,0.25,Defender,235
Theo Lucius,0.25,Midfield,235
Remco van der Schaaf,0.1,Defender,5724
Klaas-Jan Huntelaar,0.8,Attack,610
Adil Ramzi,0.4,Midfield,192
Arjen Robben,0.2,Attack,202
Dennis Rommedahl,0.1,Attack,235
Glenn Loovens,0.75,Defender,142
Thomas Buffel,0.1,Attack,3508
Robin van Persie,1.5,Attack,234
Johan Elmander,0.075,Attack,206
Yves Lenaerts,0.15,Goalkeeper,2727
Boy Waterman,0.05,Goalkeeper,383
Daniel Jensen,0.1,Midfield,5817
Santi Kolk,0.6,Attack,1268
Marcel Seip,0.15,Defender,1426
Tim Cornelisse,0.1,Defender,403
Nicky Hofs,1.0,Midfield,403
Theo Janssen,2.5,Midfield,499
Matthew Amoah,0.4,Missing,1304
Orlando Engelaar,0.25,Midfield,317
Robbie Haemhouts,0.2,Midfield,132
Arne Slot,0.4,Midfield,1269
Robert van Boxel,0.05,Defender,133
Khalid Sinouh,0.1,Goalkeeper,467
Khalid Boulahrouz,0.4,Defender,234
Dennis Gentenaar,0.1,Goalkeeper,467
Jeffrey Leiwakabessy,0.1,Defender,467
Rob Wielaert,0.35,Defender,192
Peter Wisgerhof,0.5,Defender,317
Frank Demouge,0.35,Attack,192
Anouar Hadouir,0.15,Midfield,798
Theo Zwarthoed,0.1,Goalkeeper,132
Joris Mathijsen,1.0,Defender,234
Denny Landzaat,0.1,Midfield,317
Marcel Meeuwis,0.8,Midfield,1426
Sander Boschker,0.1,Goalkeeper,317
Ji-sung Park,2.0,Midfield,383
Vladan Kujovic,0.2,Goalkeeper,2282
Roel Brouwers,0.4,Defender,192
Jos Hooiveld,0.175,Defender,317
Arnold Kruiswijk,0.2,Defender,499
Joost Broerse,0.25,Defender,1269
Mitchell Piqué,0.2,Defender,403
Nigel de Jong,0.4,Midfield,39
Wesley Sneijder,3.0,Midfield,417
Cedric van der Gun,0.5,Attack,200
Markus Berger,0.35,Defender,7179
Aaron Hunt,0.25,Midfield,41
Peter Niemeyer,0.2,Midfield,105
Wilko de Vogt,0.05,Goalkeeper,132
Stijn Schaars,0.5,Midfield,306
Daniel Van Buyten,1.0,Defender,27
Christophe Lepoint,0.05,Midfield,2715
David Yelldell,0.1,Goalkeeper,15
Kenny Miller,0.05,Attack,1241
Grégory Vignal,0.05,Defender,1519
Bo Storm,0.1,Attack,5817
Steve von Bergen,1.0,Defender,458
Kader Mangane,0.5,Defender,667
Hilton,0.15,Defender,969
Rabiu Afolabi,0.2,Defender,5817
Armand Deumi,0.05,Defender,1506
Lamine Diarra,0.05,Attack,589
Niklas Moisander,0.3,Defender,86
Gianluigi Buffon,1.0,Goalkeeper,506
Thomas Kessler,0.25,Goalkeeper,3
Hélder Postiga,0.5,Attack,2425
Alexandru Gatcan,0.05,Midfield,1083
Alexander Manninger,0.2,Goalkeeper,31
Flavio Roma,0.05,Goalkeeper,162
Éric Abidal,1.0,Defender,683
Patrice Evra,1.0,Defender,244
Gaël Givet,0.25,Defender,14171
Sébastien Squillaci,0.25,Defender,595
Ludovic Giuly,0.4,Attack,1158
Jérôme Rothen,0.25,Midfield,595
Souleymane Camara,0.2,Attack,969
Cédric Carrasso,0.25,Goalkeeper,141
Damien Grégorini,0.4,Goalkeeper,1159
Abdoulaye Méïté,0.025,Defender,653
Anastasios Tsokanis,0.15,Midfield,60949
Rémy Vercoutre,0.25,Goalkeeper,1162
Jérémie Bréchet,0.25,Defender,3558
Youssouf Hadji,0.25,Attack,1159
Florent Balmont,0.25,Midfield,2969
Mahamadou Diarra,0.75,Midfield,931
Sidney Govou,0.6,Attack,14171
Camel Meriem,0.3,Midfield,417
Sylvain Monsoreau,0.15,Defender,1095
Kamel Chafni,0.6,Midfield,3911
Jérémy Mathieu,1.2,Defender,336
Benoît Pedretti,0.25,Midfield,1159
Jean-Alain Boumsong,1.5,Defender,265
Philippe Mexès,0.5,Defender,5
Lionel Mathis,0.25,Midfield,855
Pantxi Sirieix,0.15,Midfield,415
Olivier Kapo,0.15,Midfield,2672
Nicolas Marin,0.4,Midfield,128
Ronan Le Crom,0.05,Goalkeeper,583
Alaeddine Yahia,0.25,Defender,1162
Steeve Joseph-Reinette,0.4,Defender,2696
Gaël Danic,0.3,Attack,595
Florent Malouda,0.075,Attack,347
Sébastien Chabbert,0.05,Goalkeeper,162
Charles Itandje,0.5,Goalkeeper,524
Zoumana Camara,0.5,Defender,583
Rod Fanni,0.1,Defender,244
Seydou Keita,0.5,Midfield,12
John Utaka,0.15,Attack,2381
Mauro Cetto,0.3,Defender,458
Mario Yepes,0.1,Defender,800
Eric Djemba Djemba,1.0,Midfield,465
Jérémy Toulalan,2.0,Midfield,40
Wilfried Dalmat,0.2,Attack,6418
Ariza Makukula,0.4,Attack,653
Grégory Pujol,0.25,Attack,3558
Romain Pitau,0.4,Midfield,969
Cédric Varrault,0.25,Defender,2969
Johan Audel,0.5,Attack,995
Hugo Leal,0.9,Midfield,1465
Romain Rocchi,0.25,Midfield,347
Bartholomew Ogbeche,0.175,Attack,403
Fabien Audard,0.25,Goalkeeper,1158
Nicolas Penneteau,0.1,Goalkeeper,1421
Anthar Yahia,0.25,Defender,21957
Michael Essien,0.2,Midfield,265
Cyril Jeunechamp,0.05,Midfield,969
Chaouki Ben Saada,0.15,Attack,1095
Cédric Kanté,0.25,Defender,750
Guillaume Lacour,0.25,Defender,1095
Fabrice Ehret,0.15,Defender,14171
Matthieu Chalmé,0.3,Defender,40
Matthieu Delpierre,0.5,Defender,200
José Saez,0.5,Midfield,1162
Benoît Cheyrou,0.2,Midfield,244
Jean Makoun,0.2,Midfield,589
Marc-Antoine Fortuné,0.15,Attack,984
Petr Cech,2.5,Goalkeeper,11
Arnaud Le Lan,0.3,Defender,1158
Sébastien Puygrenier,0.2,Defender,1506
Anthony Réveillère,0.5,Defender,289
Étienne Didot,0.25,Midfield,855
Olivier Sorlin,0.25,Midfield,14171
Toifilou Maoulida,0.25,Attack,595
Laurent Pionnier,0.5,Goalkeeper,969
Rudy Riou,0.3,Goalkeeper,2727
Jody Viviani,0.6,Goalkeeper,128
Cédric Barbosa,0.25,Attack,14171
Bertrand Robert,0.15,Defender,1091
Emiliano Moretti,0.5,Defender,416
Rubén Olivera,0.1,Midfield,430
Emre Belözoglu,0.5,Midfield,36
Giovanni Pasquale,0.3,Defender,410
Obafemi Martins,0.1,Attack,3368
Cristian Brocchi,0.2,Midfield,398
Andrea Pirlo,1.0,Midfield,506
Massimo Ambrosini,0.5,Midfield,430
Marco Borriello,0.4,Attack,1390
Alfonso De Lucia,0.25,Goalkeeper,1210
Sébastien Frey,0.45,Goalkeeper,20
Daniele Bonera,0.2,Defender,1050
Paolo Cannavaro,0.2,Defender,6574
Matteo Brighi,0.2,Midfield,749
Massimo Donati,0.15,Midfield,2999
Marco Marchionni,0.025,Midfield,1038
Alberto Gilardino,0.2,Attack,2921
Adrian Mutu,0.1,Attack,1147
Morgan De Sanctis,0.25,Goalkeeper,162
Olivier Renard,0.5,Goalkeeper,172
Thomas Manfredini,0.05,Defender,6574
Sergio Almirón,0.1,Midfield,1627
Martin Jörgensen,0.1,Midfield,678
Giampiero Pinzi,0.1,Midfield,410
David Pizarro,0.3,Midfield,430
Vincenzo Iaquinta,0.2,Attack,506
Cristiano Lupatelli,0.1,Goalkeeper,430
John Mensah,0.05,Defender,273
Simone Perrotta,0.3,Midfield,12
Nicola Legrottaglie,0.3,Defender,1627
Sergio Pellissier,0.2,Attack,862
Ivan Pelizzoli,0.025,Goalkeeper,2921
Walter Samuel,0.4,Defender,46
Jonathan Zebina,0.25,Defender,415
Cesare Bovo,0.1,Defender,2921
Daniele De Rossi,1.0,Midfield,12
Damiano Ferronetti,0.2,Defender,252
Alberto Aquilani,0.7,Midfield,472
Francesco Totti,1.0,Attack,12
Antonio Cassano,0.3,Attack,1038
Marius Stankevicius,0.025,Defender,42
Anthony Seric,0.2,Defender,4750
Dario Dainelli,0.15,Defender,862
Matuzalém,0.025,Midfield,276
Roberto Guana,0.3,Midfield,862
Luca Toni,1.0,Attack,276
Ferdinando Coppola,0.05,Goalkeeper,276
Cristian Zaccardo,0.15,Defender,4102
Alessandro Frara,0.2,Midfield,8970
Stefano Lucchini,0.075,Defender,1429
Francesco Tavano,0.025,Attack,749
Tommaso Rocchi,0.05,Attack,398
Antonio Di Natale,1.0,Attack,410
Francesco Lodi,0.025,Midfield,410
Stefano Mauri,0.05,Midfield,398
Giuseppe Sculli,0.1,Attack,252
Diomansy Kamara,0.25,Attack,825
Luca Castellazzi,0.1,Goalkeeper,416
Martin Jiranek,0.025,Defender,3691
Ricardo Verón,0.3,Midfield,653
Erjon Bogdani,0.2,Attack,1387
David Di Michele,0.025,Attack,862
Christian Obodo,0.35,Midfield,128
Manuele Blasi,0.075,Midfield,2921
Fabrizio Miccoli,0.075,Attack,458
Georgios Karagounis,1.0,Midfield,931
Abdoulaye Faye,0.25,Defender,3008
Mamadou Niang,0.25,Attack,114
Mohamed Sissoko,0.3,Midfield,3368
Tobias Rathgeb,0.1,Midfield,79
Fabricio Coloccini,0.075,Defender,762
Gaetano D'Agostino,0.075,Midfield,2921
Mauricio Pinilla,0.3,Attack,800
Isaac Okoronkwo,0.05,Defender,1083
Luciano,0.2,Midfield,862
Amauri,0.1,Attack,416
Stefan Kießling,1.0,Attack,15
Dennis Souza,0.075,Defender,441
Fabrice Pancrate,0.2,Attack,995
Yohann Pelé,0.25,Goalkeeper,244
Grégory Cerdan,0.5,Defender,855
Yoann Poulard,0.4,Defender,1147
Marco Caligiuri,0.25,Defender,23
Mario Gómez,0.8,Attack,79
Andreas Lasnik,0.275,Midfield,169
Danko Lazovic,0.5,Attack,1083
Patrick Helmes,1.0,Attack,3
Donny de Groot,0.125,Attack,403
Bas Sibum,0.2,Midfield,1304
Dorus de Vries,0.35,Goalkeeper,371
Marco Donadel,0.2,Midfield,276
Cristian Ledesma,0.175,Midfield,265
Antonio Rosati,0.1,Goalkeeper,430
Mirko Vucinic,5.0,Attack,506
Axel Bellinghausen,0.1,Midfield,38
Kalu Uche,0.025,Attack,3368
Andreas Isaksson,0.35,Goalkeeper,10484
Christian Fuchs,0.4,Defender,1003
Tranquillo Barnetta,0.4,Midfield,33
