rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
1,Max Aarons,England,DF,Bournemouth,Premier League,23,2000,20,1237,0,1,1,0,0,0.0,0.0,22,43,0.00,0.07,29,19,58.8,5,4,8,27,0,0,0,0,0,0,0,0,450,581,77.5,2789,88.7,80.0,54.0,7,25,13,43,34,41.2,35.3,22,12,7,8,0,2,0.0,0.00,0.00,0,31.3,1.68,0.15,0,2023-2024
2,Brenden Aaronson,United States,MF,Union Berlin,Bundesliga,22,2000,30,1267,2,2,4,2,0,2.0,2.0,37,56,0.14,0.14,32,18,50.0,1,25,2,4,0,0,0,0,0,0,0,0,365,472,77.3,1506,85.8,80.8,59.4,22,30,14,11,77,44.2,53.2,37,29,9,38,2,18,38.9,0.50,0.11,0.29,44.8,3.76,0.57,0,2023-2024
3,Paxten Aaronson,United States,MF,Eint Frankfurt,Bundesliga,19,2003,7,101,0,1,1,0,0,0.1,0.1,2,5,0.00,0.89,2,2,100.0,0,2,0,0,0,0,0,0,0,0,0,0,41,50,82.0,71,80.0,90.9,0.0,1,4,2,0,7,28.6,57.1,2,0,1,4,0,2,100.0,1.78,0.00,0.00,100.0,0.89,0.89,0,2023-2024
5,Yunis Abdelhamid,Morocco,DF,Reims,Ligue 1,35,1987,31,2781,4,0,4,3,1,3.4,2.6,36,137,0.13,0.00,64,35,57.8,32,19,39,109,2,0,0,0,0,0,0,0,1552,1836,84.5,9672,88.9,91.5,56.0,8,129,3,293,15,53.3,46.7,36,19,0,4,4,21,33.3,0.23,0.14,0.43,62.2,0.78,0.03,0,2023-2024
6,Salis Abdul Samed,Ghana,MF,Lens,Ligue 1,23,2000,27,1519,0,0,0,0,0,0.8,0.8,9,78,0.00,0.00,21,14,44.4,1,11,12,18,0,0,0,0,0,0,0,0,796,895,88.9,3008,90.8,91.7,75.9,6,87,5,21,19,36.8,57.9,9,33,0,11,0,5,0.0,0.00,0.00,0,22.2,1.60,0.18,0,2023-2024
7,Nabil Aberdin,France,DF,Getafe,La Liga,20,2002,2,180,0,0,0,0,0,0.0,0.0,0,7,0.00,0.00,0,0,0.0,0,0,0,4,0,0,0,0,0,0,0,0,60,79,75.9,426,84.6,85.3,41.2,0,4,0,4,0,0,0,0,0,0,1,0,0,0,0.00,0,0,40.0,0.00,0.00,0,2023-2024
8,Laurent Abergel,France,MF,Lorient,Ligue 1,30,1993,33,2860,2,1,3,2,0,1.1,1.1,38,194,0.06,0.03,85,52,39.6,6,23,61,61,3,0,0,0,0,0,0,0,1551,1836,84.5,8613,89.0,88.7,64.4,30,188,23,105,65,67.7,27.7,38,49,3,30,2,26,42.3,0.35,0.08,0.18,51.7,2.55,0.16,0,2023-2024
9,Matthis Abline,France,FW,Nantes,Ligue 1,20,2003,22,1044,5,0,5,5,0,3.8,3.8,28,20,0.43,0.00,9,4,37.5,0,3,3,5,0,0,0,0,0,0,0,0,162,231,70.1,448,71.1,76.5,81.8,17,6,7,9,33,57.6,42.4,28,24,14,14,5,42,45.2,1.64,0.12,0.26,35.7,3.28,0.17,0,2023-2024
10,Abner,Brazil,DF,Betis,La Liga,23,2000,23,1400,0,1,1,0,0,0.1,0.1,14,33,0.00,0.06,25,19,50.0,5,18,15,62,0,0,0,0,0,0,0,0,615,797,77.2,4552,89.1,76.6,46.8,8,20,7,72,13,53.8,38.5,14,10,5,11,0,4,0.0,0.00,0.00,0,58.3,0.90,0.00,0,2023-2024
11,Zakaria Aboukhlal,Morocco,MF,Toulouse,Ligue 1,23,2000,13,754,3,0,3,2,1,2.8,2.0,23,20,0.36,0.00,9,8,25.0,1,8,1,2,0,0,0,0,0,0,0,0,140,196,71.4,599,73.7,80.3,75.0,5,10,9,1,31,25.8,71.0,23,13,8,12,3,27,25.9,0.84,0.07,0.29,46.2,2.39,0.24,0,2023-2024
