rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
12,Abdel Abqar,Morocco,DF,Alavés,La Liga,24,1999,27,2312,0,0,0,0,0,0.5,0.5,7,49,0.00,0.00,35,19,60.0,26,5,23,115,0,0,0,0,0,0,0,0,553,762,72.6,4872,86.0,89.1,44.0,3,61,2,191,5,60.0,20.0,7,6,0,1,0,10,30.0,0.12,0.00,0.00,52.0,0.47,0.00,0,2023-2024
13,Tammy Abraham,England,FW,Roma,Serie A,25,1997,8,242,1,0,1,1,0,0.6,0.6,6,4,0.37,0.00,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,19,40,47.5,75,56.0,44.4,0.0,3,1,1,4,6,33.3,66.7,6,2,2,2,1,4,50.0,0.74,0.25,0.50,54.5,1.12,0.37,0,2023-2024
14,Francesco Acerbi,Italy,DF,Inter,Serie A,35,1988,29,2388,3,1,4,3,0,1.6,1.6,21,87,0.11,0.04,22,13,78.6,13,7,32,77,1,0,0,0,0,0,0,0,1615,1781,90.7,9174,92.5,94.3,73.7,7,58,5,219,3,66.7,33.3,21,11,0,1,3,15,40.0,0.23,0.20,0.50,65.4,0.83,0.04,0,2023-2024
16,Marcos Acuña,Argentina,DF,Sevilla,La Liga,31,1991,21,1292,1,2,3,1,0,0.3,0.3,23,59,0.07,0.14,33,21,64.3,2,10,4,25,0,0,0,0,0,0,0,0,628,847,74.1,4928,87.5,79.9,51.4,23,52,19,33,21,47.6,38.1,23,20,4,16,1,9,44.4,0.28,0.11,0.25,54.2,3.42,0.28,0,2023-2024
17,Akor Adams,Nigeria,FW,Montpellier,Ligue 1,23,2000,32,2252,8,1,9,8,0,12.4,12.4,40,17,0.32,0.04,12,4,42.9,2,7,5,11,0,0,0,0,0,0,0,0,250,385,64.9,786,67.6,70.6,48.3,17,14,4,17,44,31.8,59.1,40,23,22,30,8,79,40.5,1.28,0.10,0.25,43.9,1.72,0.12,0,2023-2024
18,Tyler Adams,United States,MF,Bournemouth,Premier League,24,1999,3,121,0,0,0,0,0,0.0,0.0,4,5,0.00,0.00,4,3,66.7,0,2,4,2,0,0,0,0,0,0,0,0,59,71,83.1,262,89.7,75.0,75.0,1,9,0,3,3,66.7,0.0,4,1,2,0,0,0,0,0.00,0,0,40.0,2.25,0.00,0,2023-2024
19,Junior Adamu,Austria,FW,Freiburg,Bundesliga,22,2001,15,105,0,0,0,0,0,0.1,0.1,1,1,0.00,0.00,5,1,50.0,0,1,0,2,0,0,0,0,0,0,0,0,18,30,60.0,36,88.2,11.1,0.0,1,0,1,2,3,0.0,66.7,1,1,0,5,0,2,50.0,0.86,0.00,0.00,45.5,1.73,0.00,0,2023-2024
20,Sargis Adamyan,Armenia,FW,Köln,Bundesliga,30,1993,20,801,1,2,3,1,0,4.1,4.1,15,18,0.11,0.22,14,9,54.5,1,15,5,7,0,0,0,0,0,0,0,0,132,189,69.8,483,77.7,68.8,55.6,12,16,3,8,18,38.9,55.6,15,9,5,17,1,31,41.9,1.46,0.03,0.08,27.5,3.48,0.34,0,2023-2024
21,Tosin Adarabioyo,England,DF,Fulham,Premier League,25,1997,20,1617,2,0,2,2,0,0.7,0.7,10,62,0.11,0.00,21,11,57.1,11,5,25,80,0,0,0,0,0,0,0,0,1028,1216,84.5,7956,90.2,89.7,65.0,2,47,2,181,3,33.3,0.0,10,12,1,4,2,14,35.7,0.28,0.14,0.40,66.7,0.56,0.00,0,2023-2024
22,Elijah Adebayo,England,FW,Luton Town,Premier League,25,1998,27,1419,10,0,10,10,0,5.9,5.9,16,23,0.63,0.00,4,1,8.3,2,11,6,25,0,0,0,0,0,0,0,0,144,204,70.6,385,77.0,68.3,50.0,14,9,4,27,67,26.9,68.7,16,15,13,34,10,31,45.2,0.89,0.32,0.71,50.0,1.97,0.32,0,2023-2024
23,Karim Adeyemi,Germany,FW,Dortmund,Bundesliga,21,2002,21,913,3,1,4,3,0,3.5,3.5,52,26,0.30,0.10,16,14,40.0,0,11,3,5,0,0,0,0,0,0,0,0,218,299,72.9,719,83.3,73.5,44.4,9,9,10,10,60,30.0,53.3,52,22,27,25,3,23,43.5,0.99,0.13,0.30,60.9,2.46,0.20,0,2023-2024
24,Simon Adingra,Ivory Coast,FW,Brighton,Premier League,21,2002,31,2222,6,1,7,6,0,4.3,4.3,111,50,0.24,0.04,45,20,45.2,1,30,19,22,0,0,0,0,0,0,0,0,634,840,75.5,1713,83.9,75.5,52.6,33,17,33,36,123,40.7,52.0,111,48,63,28,6,52,42.3,0.89,0.12,0.27,40.0,3.12,0.16,0,2023-2024
25,Nathaniel Adjei,Ghana,DF,Lorient,Ligue 1,20,2002,15,1243,0,0,0,0,0,0.4,0.4,10,34,0.00,0.00,13,9,85.7,8,7,18,64,1,0,0,0,0,0,0,0,578,669,86.4,4097,87.8,91.0,71.2,3,38,1,94,5,80.0,20.0,10,12,0,5,0,4,0.0,0.00,0.00,0,57.7,0.80,0.00,0,2023-2024
26,Amine Adli,Morocco,MF,Leverkusen,Bundesliga,23,2000,23,898,4,6,10,4,0,3.3,3.3,32,39,0.40,0.60,16,7,41.2,2,8,6,5,0,0,0,0,0,0,0,0,367,459,80.0,1110,86.6,82.7,38.9,21,19,18,7,27,48.1,37.0,32,25,16,10,4,27,55.6,1.50,0.15,0.27,48.8,5.22,0.90,0,2023-2024
27,Yacine Adli,France,MF,Milan,Serie A,23,2000,24,1407,1,2,3,1,0,0.3,0.3,30,125,0.06,0.13,34,17,37.1,8,14,20,15,1,0,0,0,0,0,0,0,1125,1300,86.5,6752,91.6,91.2,67.8,22,149,16,38,32,68.8,25.0,30,27,3,10,1,4,25.0,0.06,0.25,1.00,60.0,3.97,0.51,0,2023-2024
29,Adson,Brazil,MF,Nantes,Ligue 1,22,2000,8,238,0,0,0,0,0,0.2,0.2,18,15,0.00,0.00,7,6,100.0,0,5,2,2,0,0,0,0,0,0,0,0,115,130,88.5,378,95.3,87.0,80.0,3,11,4,0,8,62.5,37.5,18,9,4,4,0,5,0.0,0.00,0.00,0,0.0,3.40,0.00,0,2023-2024
30,Michel Aebischer,Switzerland,MF,Bologna,Serie A,26,1997,36,2230,0,1,1,0,0,1.1,1.1,26,125,0.00,0.04,35,20,44.1,6,22,12,22,0,0,0,0,0,0,0,0,1370,1503,91.2,5798,94.3,93.4,76.7,17,117,9,51,25,56.0,36.0,26,23,3,19,0,18,27.8,0.20,0.00,0.00,40.7,1.61,0.04,0,2023-2024
31,Emmanuel Agbadou,Ivory Coast,DF,Reims,Ligue 1,26,1997,32,2596,1,1,2,1,0,2.4,2.4,42,179,0.03,0.03,65,41,68.8,25,22,55,116,1,0,0,0,0,0,0,0,1599,1838,87.0,10984,90.7,92.3,70.0,12,172,5,237,31,48.4,51.6,42,26,2,23,1,32,15.6,0.17,0.03,0.20,58.4,1.63,0.03,0,2023-2024
32,Julen Agirrezabala,Spain,GK,Athletic Club,La Liga,22,2000,4,238,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,4,1.51,8,66.7,2,100.0,0,67,100,67.0,1648,100.0,100.0,39.6,0,2,0,84,0,0,0,0,0,0,0,0,0,0,0.00,0,0,100.0,0.00,0.00,4.9,2023-2024
34,Lucien Agoume,France,MF,Sevilla,La Liga,21,2002,12,777,0,0,0,0,0,0.9,0.9,7,35,0.00,0.00,23,18,75.0,1,5,7,8,0,0,0,0,0,0,0,0,301,360,83.6,1424,86.5,88.9,73.8,9,36,5,17,8,87.5,12.5,7,3,2,4,0,6,33.3,0.23,0.00,0.00,56.3,2.43,0.12,0,2023-2024
35,Felix Agu,Germany,DF,Werder Bremen,Bundesliga,23,1999,24,1614,0,0,0,0,0,0.9,0.9,32,32,0.00,0.00,45,29,70.7,7,20,13,41,0,0,0,0,0,0,0,0,488,669,72.9,2921,84.2,80.2,40.3,7,18,16,61,35,40.0,48.6,32,16,7,10,0,11,0.0,0.00,0.00,0,38.5,1.34,0.17,0,2023-2024
36,Nayef Aguerd,Morocco,DF,West Ham,Premier League,27,1996,21,1857,1,0,1,1,0,1.5,1.5,10,68,0.05,0.00,26,14,72.7,24,9,17,85,2,0,0,0,0,0,0,0,943,1177,80.1,8804,93.1,91.7,48.1,4,74,2,187,5,60.0,40.0,10,8,0,2,1,14,21.4,0.15,0.07,0.33,60.0,0.68,0.00,0,2023-2024
37,Ruben Aguilar,France,DF,Lens,Ligue 1,30,1993,25,1922,1,3,4,1,0,1.4,1.4,36,110,0.05,0.14,53,31,60.0,5,30,26,46,0,0,0,0,0,0,0,0,1044,1282,81.4,5987,89.2,83.3,47.3,26,73,42,64,20,30.0,60.0,36,37,2,10,1,12,33.3,0.19,0.08,0.25,51.1,2.20,0.23,0,2023-2024
39,Naouirou Ahamada,France,MF,Crystal Palace,Premier League,21,2002,20,349,0,0,0,0,0,0.5,0.5,19,25,0.00,0.00,13,9,47.1,0,3,2,4,0,0,0,0,0,0,0,0,150,187,80.2,628,85.4,85.5,71.4,1,12,0,6,13,53.8,38.5,19,8,4,11,0,9,22.2,0.52,0.00,0.00,50.0,2.30,0.77,0,2023-2024
40,Anel Ahmedhodžić,Bosnia and Herzegovina,DF,Sheffield Utd,Premier League,24,1999,31,2649,2,0,2,2,0,3.1,3.1,15,43,0.07,0.00,64,36,61.2,26,17,34,137,2,0,0,0,0,0,0,0,749,993,75.4,5078,86.5,81.9,39.4,7,41,3,229,21,52.4,42.9,15,15,3,11,2,19,26.3,0.17,0.11,0.40,59.1,0.88,0.03,0,2023-2024
41,Joseph Aidoo,Ghana,DF,Celta Vigo,La Liga,27,1995,6,407,0,0,0,0,0,0.1,0.1,2,12,0.00,0.00,8,3,50.0,1,2,4,28,0,0,0,0,0,0,0,0,145,185,78.4,1187,89.1,82.4,54.3,1,8,1,34,2,100.0,0.0,2,0,0,2,0,3,0.0,0.00,0.00,0,60.9,1.33,0.22,0,2023-2024
42,Ola Aina,Nigeria,DF,Nott'ham Forest,Premier League,26,1996,22,1692,1,1,2,1,0,0.3,0.3,52,69,0.05,0.05,47,31,72.5,3,16,18,51,1,0,0,0,0,0,0,0,605,803,75.3,4065,87.7,76.4,46.5,11,58,13,62,45,60.0,31.1,52,28,11,10,1,11,9.1,0.05,0.09,1.00,58.6,2.02,0.05,0,2023-2024
43,Rayan Aït-Nouri,Algeria,DF,Wolves,Premier League,22,2001,33,2329,2,1,3,2,0,3.3,3.3,67,99,0.08,0.04,71,44,57.1,6,26,15,38,0,0,0,0,0,0,0,0,1005,1190,84.5,3935,91.1,86.3,52.8,25,60,13,56,115,53.9,33.9,67,48,8,56,2,24,33.3,0.31,0.08,0.25,45.7,2.51,0.19,0,2023-2024
44,Tosin Aiyegun,Benin,MF,Lorient,Ligue 1,25,1998,19,902,2,0,2,2,0,1.8,1.8,17,16,0.20,0.00,6,4,33.3,1,3,2,8,0,0,0,0,0,0,0,0,154,203,75.9,486,74.5,82.9,66.7,7,7,2,10,26,46.2,50.0,17,10,6,13,2,11,27.3,0.30,0.18,0.67,37.5,1.30,0.10,0,2023-2024
45,Kristoffer Ajer,Norway,DF,Brentford,Premier League,25,1998,28,1832,2,1,3,2,0,1.3,1.3,22,61,0.10,0.05,38,21,63.9,11,15,25,79,1,0,0,0,0,0,0,0,610,810,75.3,3786,86.4,79.2,43.7,12,56,10,112,12,83.3,16.7,22,11,5,6,2,12,33.3,0.20,0.17,0.50,73.3,1.33,0.15,0,2023-2024
46,Ludovic Ajorque,France,FW,Mainz 05,Bundesliga,29,1994,26,1360,2,0,2,2,0,5.3,3.7,5,21,0.13,0.00,3,2,18.2,2,4,4,11,0,0,0,0,0,0,0,0,318,453,70.2,479,71.4,72.4,78.9,16,21,3,12,11,18.2,72.7,5,6,1,10,2,27,22.2,0.40,0.07,0.33,46.2,2.45,0.00,0,2023-2024
47,Manuel Akanji,Switzerland,DF,Manchester City,Premier League,28,1995,30,2511,2,0,2,2,0,1.9,1.9,46,148,0.07,0.00,42,28,56.4,12,16,23,70,3,0,0,0,0,0,0,0,2180,2334,93.4,9787,96.0,94.7,77.3,13,214,15,163,4,50.0,50.0,46,51,3,9,2,15,33.3,0.18,0.13,0.40,50.0,1.97,0.14,0,2023-2024
49,Nathan Aké,Netherlands,DF,Manchester City,Premier League,28,1995,29,2042,2,2,4,2,0,2.5,2.5,24,116,0.09,0.09,26,16,65.0,2,15,14,54,0,0,0,0,0,0,0,0,1716,1864,92.1,8717,95.8,94.2,50.6,10,148,5,105,10,50.0,30.0,24,43,1,2,2,20,25.0,0.22,0.10,0.40,62.2,1.59,0.26,0,2023-2024
50,Ilias Akhomach,Morocco,MF,Villarreal,La Liga,19,2004,31,1511,2,2,4,2,0,3.2,3.2,68,45,0.12,0.12,36,21,50.0,2,8,13,13,0,0,0,0,0,0,0,0,372,481,77.3,1318,86.9,75.9,50.0,21,20,24,12,128,44.5,46.1,68,47,27,36,2,30,23.3,0.42,0.07,0.29,30.0,3.40,0.18,0,2023-2024
51,Sergio Akieme,Spain,DF,Almería,La Liga,25,1997,19,1675,2,0,2,2,0,1.2,1.2,27,28,0.11,0.00,27,15,81.3,4,10,10,34,0,0,0,0,0,0,0,0,620,801,77.4,3150,90.8,82.9,43.2,17,30,14,54,40,52.5,45.0,27,23,2,16,2,9,55.6,0.27,0.22,0.40,40.0,1.72,0.05,0,2023-2024
52,Sergio Akieme,Spain,DF,Reims,Ligue 1,25,1997,13,818,2,0,2,2,0,1.4,1.4,20,20,0.22,0.00,11,5,72.7,3,6,10,25,0,0,0,0,0,0,0,0,277,350,79.1,1253,90.8,82.0,37.8,6,15,4,36,18,44.4,50.0,20,12,3,8,2,11,18.2,0.22,0.18,1.00,60.0,2.09,0.11,0,2023-2024
54,Maghnes Akliouche,France,MF,Monaco,Ligue 1,21,2002,28,1613,7,4,11,7,0,5.4,5.4,46,93,0.39,0.22,37,23,33.3,0,21,9,3,0,0,0,0,0,0,0,0,645,833,77.4,2859,85.6,79.7,46.4,38,64,38,10,52,51.9,42.3,46,45,14,40,7,36,61.1,1.23,0.19,0.32,17.4,4.91,0.50,0,2023-2024
55,Paul Akouokou,Ivory Coast,MF,Betis,La Liga,25,1997,2,27,0,0,0,0,0,0.0,0.0,0,1,0.00,0.00,5,3,100.0,1,2,1,1,0,0,0,0,0,0,0,0,16,17,94.1,65,87.5,100.0,100.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0,2023-2024
56,Paul Akouokou,Ivory Coast,MF,Lyon,Ligue 1,25,1997,8,307,0,0,0,0,0,0.1,0.1,0,13,0.00,0.00,14,9,85.7,1,4,6,11,0,0,0,0,0,0,0,0,158,185,85.4,717,83.6,93.8,73.7,0,16,0,16,4,75.0,0.0,0,4,0,1,0,2,0.0,0.00,0.00,0,61.5,1.75,0.00,0,2023-2024
57,Jean-Daniel Akpa-Akpro,Ivory Coast,MF,Monza,Serie A,30,1992,19,705,0,0,0,0,0,0.5,0.5,11,10,0.00,0.00,20,11,33.3,4,6,12,15,1,0,0,0,0,0,0,0,220,263,83.7,826,88.3,91.3,80.0,1,14,0,22,10,30.0,30.0,11,9,1,7,0,7,42.9,0.38,0.00,0.00,41.7,0.64,0.00,0,2023-2024
59,Kevin Akpoguma,Nigeria,DF,Hoffenheim,Bundesliga,28,1995,17,1097,0,0,0,0,0,0.3,0.3,10,55,0.00,0.00,35,18,74.3,8,20,18,32,0,0,0,0,0,0,0,0,611,711,85.9,3879,91.1,90.2,63.3,5,71,2,72,13,69.2,30.8,10,11,2,1,0,2,0.0,0.00,0.00,0,54.3,1.31,0.25,0,2023-2024
60,David Alaba,Austria,DF,Real Madrid,La Liga,31,1992,14,1154,0,1,1,0,0,1.0,1.0,9,51,0.00,0.08,13,9,50.0,7,3,15,34,0,0,0,0,0,0,0,0,810,904,89.6,4997,96.3,90.0,58.3,10,56,5,127,0,0,0,9,11,0,1,0,14,21.4,0.23,0.00,0.00,52.6,1.40,0.08,0,2023-2024
61,Luis Alberto,Spain,MF,Lazio,Serie A,30,1992,33,2311,5,7,12,5,0,4.7,4.7,83,212,0.19,0.27,35,20,28.3,4,30,7,13,0,0,0,0,0,0,0,0,1303,1679,77.6,6568,89.2,82.2,43.5,64,172,48,23,45,55.6,35.6,83,62,10,24,5,56,26.8,0.58,0.09,0.33,34.5,4.60,0.35,0,2023-2024
62,Raúl Albiol,Spain,DF,Villarreal,La Liga,37,1985,26,2031,0,1,1,0,0,0.4,0.4,8,62,0.00,0.04,25,14,66.7,24,7,16,102,0,0,0,0,0,0,0,0,1095,1272,86.1,8497,90.8,92.9,63.1,3,64,1,244,0,0,0,8,1,0,3,0,6,16.7,0.04,0.00,0.00,61.3,0.18,0.04,0,2023-2024
63,Thiago Alcántara,Spain,MF,Liverpool,Premier League,32,1991,1,6,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,70.0,30,100.0,75.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0,2023-2024
64,Carlos Alcaraz,Argentina,MF,Juventus,Serie A,20,2002,10,380,0,1,1,0,0,0.4,0.4,6,27,0.00,0.24,6,6,50.0,2,3,5,4,0,0,0,0,0,0,0,0,143,165,86.7,754,86.1,90.3,89.5,2,20,4,7,9,33.3,55.6,6,13,1,4,0,11,18.2,0.47,0.00,0.00,18.2,1.42,0.24,0,2023-2024
65,Rubén Alcaraz,Spain,MF,Cádiz,La Liga,32,1991,36,3134,3,1,4,1,2,3.3,1.7,27,154,0.09,0.03,97,59,41.3,14,46,33,55,2,0,0,0,0,0,0,0,1271,1582,80.3,6666,90.6,87.3,55.1,23,151,16,91,23,43.5,47.8,27,27,3,27,3,46,21.7,0.29,0.02,0.10,49.0,2.15,0.14,0,2023-2024
66,Omar Alderete,Paraguay,DF,Getafe,La Liga,26,1996,31,2195,0,1,1,0,0,1.2,1.2,23,98,0.00,0.04,28,21,54.3,18,12,13,111,0,0,0,0,0,0,0,0,678,1056,64.2,7319,77.9,79.6,43.5,13,98,14,132,13,69.2,23.1,23,13,0,5,0,24,20.8,0.21,0.00,0.00,55.0,1.27,0.12,0,2023-2024
67,Iván Alejo,Spain,MF,Cádiz,La Liga,28,1995,30,1692,0,2,2,0,0,0.5,0.5,48,31,0.00,0.11,40,23,29.8,0,20,7,17,0,0,0,0,0,0,0,0,245,481,50.9,1711,71.8,47.6,37.5,16,17,25,27,61,39.3,50.8,48,41,1,28,0,11,18.2,0.11,0.00,0.00,45.5,1.97,0.27,0,2023-2024
68,Carles Aleñá,Spain,MF,Getafe,La Liga,25,1998,29,1020,1,1,2,1,0,1.2,1.2,12,23,0.09,0.09,24,8,41.7,3,11,4,13,0,0,0,0,0,0,0,0,308,396,77.8,1146,85.2,82.6,64.4,18,31,3,14,28,21.4,71.4,12,14,5,18,1,16,31.3,0.44,0.06,0.20,36.7,3.18,0.18,0,2023-2024
69,Trent Alexander-Arnold,England,DF,Liverpool,Premier League,24,1998,28,2155,3,4,7,3,0,2.6,2.3,45,205,0.13,0.17,39,26,31.0,2,20,31,48,5,0,0,0,0,0,0,0,1553,2062,75.3,12434,92.1,79.7,49.3,64,202,57,75,52,53.8,40.4,45,48,7,6,3,47,17.0,0.33,0.06,0.38,57.1,5.27,0.29,0,2023-2024
71,Mohamed Ali Cho,France,FW,Real Sociedad,La Liga,19,2004,11,249,0,0,0,0,0,0.4,0.4,16,3,0.00,0.00,4,3,28.6,0,6,1,1,0,0,0,0,0,0,0,0,38,66,57.6,124,71.9,66.7,11.1,1,1,0,0,20,35.0,45.0,16,11,4,2,0,3,0.0,0.00,0.00,0,33.3,1.08,0.36,0,2023-2024
72,Mohamed Ali Cho,France,FW,Nice,Ligue 1,19,2004,17,861,1,2,3,1,0,1.1,1.1,48,25,0.10,0.21,12,9,27.3,0,10,3,6,0,0,0,0,0,0,0,0,193,268,72.0,731,83.5,73.3,40.7,14,10,11,3,38,42.1,50.0,48,29,15,16,1,18,33.3,0.63,0.06,0.17,29.4,3.56,0.42,0,2023-2024
73,Faride Alidou,Germany,FW,Köln,Bundesliga,22,2001,26,1282,4,0,4,4,0,3.0,3.0,51,33,0.28,0.00,10,4,22.2,2,21,8,15,1,0,0,0,0,0,0,0,196,305,64.3,831,72.4,69.0,48.8,14,14,7,14,70,34.3,54.3,51,23,18,27,4,33,33.3,0.77,0.12,0.36,39.1,2.39,0.21,0,2023-2024
74,Nabil Alioui,France,MF,Le Havre,Ligue 1,24,1999,18,1009,4,1,5,4,0,2.4,2.4,22,43,0.36,0.09,3,2,50.0,1,5,3,4,0,0,0,0,0,0,0,0,228,358,63.7,1464,78.1,69.6,42.2,24,35,15,6,38,39.5,55.3,22,20,7,17,4,28,32.1,0.80,0.14,0.44,50.0,3.56,0.18,0,2023-2024
75,Alisson,Brazil,GK,Liverpool,Premier League,30,1992,28,2520,0,0,0,0,0,0.0,0.0,0,5,0.00,0.00,0,0,0.0,0,0,0,11,4,30,1.07,80,73.4,8,28.6,0.0,985,1142,86.3,13147,99.6,98.4,51.8,1,8,0,754,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75.0,0.39,0.00,4.3,2023-2024
76,Tadeo Allende,Argentina,MF,Celta Vigo,La Liga,24,1999,10,336,1,0,1,1,0,1.2,1.2,9,7,0.27,0.00,6,1,66.7,0,3,3,3,0,0,0,0,0,0,0,0,60,98,61.2,309,75.0,54.5,62.5,2,5,2,3,8,37.5,50.0,9,4,1,8,1,8,25.0,0.54,0.13,0.50,55.6,2.41,0.00,0,2023-2024
77,Jim Allevinah,Gabon,MF,Clermont Foot,Ligue 1,28,1995,29,1861,2,1,3,2,0,2.6,2.6,87,52,0.10,0.05,30,18,40.0,3,17,13,30,0,0,0,0,0,0,0,0,589,743,79.3,2195,85.6,78.0,47.6,20,36,20,48,67,41.8,52.2,87,55,13,26,2,37,29.7,0.53,0.05,0.18,38.1,2.80,0.15,0,2023-2024
