player,squad,age,pos,min,gls_per90,ast_per90,xg_per90,xag_per90,sh_per90,sot_per90,prgc_per90,prgp_per90,tkl_per90,int_per90,clr_per90,blk_per90,aer_won_per90,saves_per90,psxg_net_per90,tm_match_name,actual_value_m,contract_years_left,age_clean,league_de Bundesliga,league_eng Premier League,league_es La Liga,league_fr Ligue 1,league_it Serie A,pos_clean_CAM,pos_clean_CB,pos_clean_CDM,pos_clean_CM,pos_clean_FULLBACK,pos_clean_GK,pos_clean_ST,pos_clean_WINGER,pos_clean,league,predicted_value_m,pred_value_low_m,pred_value_high_m,surplus_value_m
Pavel Šulc,Lyon,25.0,MF,1824.0,0.5295450254861243,0.3143288653955069,0.0,0.0,2.118180101944497,0.8665282235227488,0.0,0.0,0.0,0.2888427411742496,0.0,0.0,0.0,0.0,0.0,Pavel Sulc,20.0,3.0,25.0,False,False,False,True,False,True,False,False,False,False,False,False,False,CAM,fr Ligue 1,19.12,11.96,24.08,-0.88
Yuito Suzuki,Freiburg,24.0,MF,1951.0,0.390341108896964,0.08967295744930252,0.0,0.0,1.703786191536748,0.6277107021451178,0.0,0.0,0.0,0.4483647872465127,0.0,0.0,0.0,0.0,0.0,Yuito Suzuki,24.0,2.0,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,CAM,de Bundesliga,17.52,4.14,21.65,-6.48
Zion Suzuki,Aston Villa,24.0,GK,5474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01446551766771346,0.0,0.506293118369971,0.01446551766771346,0.0,2.6616552508592766,0.0,Zion Suzuki,20.0,3.0,24.0,False,True,False,False,False,False,False,False,False,False,True,False,False,GK,eng Premier League,24.8,19.63,34.43,4.8
Daniel Svensson,Dortmund,24.0,MF,3595.0,0.07160874202231213,0.11122208867295288,0.015845338660256305,0.023768007990384456,0.4296524521338729,0.14321748404462425,0.21787340657852416,0.8120736063381355,0.2971000998798057,0.6170540535965194,0.5942001997596114,0.23768007990384454,0.0,0.0,0.0,Daniel Svensson,22.0,3.0,24.0,True,False,False,False,False,False,False,False,True,False,False,False,False,CM,de Bundesliga,18.22,7.31,30.61,-3.78
Mile Svilar,Roma,27.0,GK,7290.0,0.0,0.0,0.0,0.0,0.010483870967741934,0.0,0.0,0.02096774193548387,0.0,0.013709677419354837,0.12580645161290321,0.0,0.0,2.693548387096774,0.0,Mile Svilar,35.0,4.0,27.0,False,False,False,False,True,False,False,False,False,False,True,False,False,GK,it Serie A,26.7,8.32,32.52,-8.3
Williot Swedberg,Celta Vigo,22.0,FW,2926.0,0.2723417413968282,0.29818438839068784,0.13438176436806998,0.06719088218403499,1.6042320095419003,0.7931704731192294,0.8786499977912267,0.7235941158280691,0.5943808808587709,0.21270486371869063,0.2584264699385961,0.46516764588947307,0.0,0.0,0.0,Williot Swedberg,20.0,3.0,22.0,False,False,True,False,False,False,False,False,False,False,False,True,False,ST,es La Liga,20.1,12.46,31.98,0.1
Lamine Sy,Auxerre,24.0,DF,1985.0,0.05129374216345606,0.0,0.0,0.0,0.5667958509061894,0.0871993616778753,0.0,0.0,0.0,1.133591701812379,0.0,0.0,0.0,0.0,0.0,Lamine Sy,2.5,3.0,24.0,False,False,False,True,False,False,True,False,False,False,False,False,False,CB,fr Ligue 1,4.83,3.12,14.17,2.33
Dominik Szoboszlai,Liverpool,25.0,MF,6162.0,0.18728540214337738,0.18447612111122672,0.08886692331703257,0.09008427843096453,1.9458953282696907,0.6339610862553323,0.876495682031006,1.5947351992508585,0.4625949432941422,0.571220476537301,0.2312974716470711,0.3286858807616273,0.0,0.0,0.0,Dominik Szoboszlai,100.0,2.0,25.0,False,True,False,False,False,True,False,False,False,False,False,False,False,CAM,eng Premier League,87.98,32.07,103.58,-12.02
Jonathan Tah,Bayern Munich,30.0,DF,5175.0,0.08570757670632437,0.019959298685034443,0.016789292423293675,0.006105197244834064,0.5259862241703194,0.20663744520976834,0.2289448966812774,2.579445835942392,0.28999686912961803,1.0484502191609266,2.39628991859737,0.10684095178459611,0.0,0.0,0.0,Jonathan Tah,28.0,3.0,30.0,True,False,False,False,False,False,True,False,False,False,False,False,False,CB,de Bundesliga,22.59,3.89,27.42,-5.41
Montassar Talbi,Lorient,28.0,DF,3060.0,0.0,0.02866779089376054,0.0,0.0,0.40134907251264756,0.05733558178752108,0.0,0.0,0.0,0.7740303541315345,0.0,0.0,0.0,0.0,0.0,Montassar Talbi,8.0,1.0,28.0,False,False,False,True,False,False,True,False,False,False,False,False,False,CB,fr Ligue 1,5.34,2.56,12.95,-2.66
Ao Tanaka,Leeds United,28.0,MF,1570.0,0.11145510835913312,0.0655618284465489,0.0,0.0,0.9473684210526315,0.2786377708978328,0.0,0.0,0.0,1.1702786377708978,0.0,0.0,0.0,0.0,0.0,Ao Tanaka,13.0,2.0,28.0,False,True,False,False,False,False,False,False,True,False,False,False,False,CM,eng Premier League,9.54,4.74,12.62,-3.46
Edmond Tapsoba,Leverkusen,27.0,DF,5442.0,0.09154440801282819,0.07646650551659766,0.01540100040686404,0.0028001818921570983,0.8249766651508986,0.21109063494722735,0.7280472919608454,2.29614915156882,0.5460354689706342,0.7205083407127302,1.2460809420099084,0.19601273245099685,0.0,0.0,0.0,Edmond Tapsoba,35.0,5.0,27.0,True,False,False,False,False,False,True,False,False,False,False,False,False,CB,de Bundesliga,37.03,10.03,39.19,2.03
James Tarkowski,Everton,33.0,DF,6702.0,0.05820688057453955,0.07297579057106453,0.014682034055368932,0.03275222981582301,0.4647862851847562,0.1928645893663848,0.10164485115255416,0.8470404262712847,0.7228078304181629,0.8913471562608595,2.4055948106104483,0.13552646820340555,0.0,0.0,0.0,James Tarkowski,5.0,2.0,33.0,False,True,False,False,False,False,True,False,False,False,False,False,False,CB,eng Premier League,6.08,3.81,9.79,1.08
César Tárrega,Valencia,24.0,DF,5954.0,0.02596999023350795,0.0,0.024671490721832553,0.0012984995116753974,0.44648406286069436,0.0948903489301252,0.2596999023350795,1.025814614223564,0.6362647607209447,0.6931989700790198,2.882668915919382,0.18178993163455565,0.0,0.0,0.0,César Tárrega,9.0,4.0,24.0,False,False,True,False,False,False,True,False,False,False,False,False,False,CB,es La Liga,9.72,8.09,20.68,0.72
Nuno Tavares,Lazio,26.0,DF,3497.0,0.0,0.24125542173160333,0.02395800368584672,0.10454401608369476,1.0655447793145814,0.137381559597163,2.134440328375435,2.417580371935442,0.6098400938215528,0.9700478415458216,0.9583201474338688,0.6316200971723226,0.0,0.0,0.0,Nuno Tavares,12.0,3.0,26.0,False,False,False,False,True,False,False,False,False,True,False,False,False,FULLBACK,it Serie A,13.14,7.79,33.5,1.14
Marcus Tavernier,Bournemouth,27.0,MF,5095.0,0.24484905966479895,0.14938038961201036,0.08030599892675745,0.0584043628558236,2.168823551434526,0.7064681583906354,0.7738578078396627,1.8689396113863552,0.6278469007001036,0.37850519773870295,0.1606119978535149,0.37962835856285343,0.0,0.0,0.0,Marcus Tavernier,25.0,3.0,27.0,False,True,False,False,False,True,False,False,False,False,False,False,False,CAM,eng Premier League,36.74,24.91,47.41,11.74
Kenneth Taylor,Lazio,24.0,MF,1813.0,0.14308872124197267,0.09539248082798178,0.0,0.0,0.7631398466238543,0.28617744248394533,0.0,0.0,0.0,0.429266163725918,0.0,0.0,0.0,0.0,0.0,Kenneth Taylor,25.0,4.0,24.0,False,False,False,False,True,False,False,False,True,False,False,False,False,CM,it Serie A,19.61,5.72,23.85,-5.39
Loum Tchaouna,Coventry City,23.0,MF,2144.0,0.12280803623272558,0.044419927999070956,0.08492045058645921,0.020380908140750206,1.8029264893740569,0.6715247938683081,0.747299965160841,0.6793636046916737,0.27174544187666944,0.22471257693647664,0.47555452328417147,0.16984090117291842,0.0,0.0,0.0,Loum Tchaouna,13.0,4.0,23.0,False,True,False,False,False,True,False,False,False,False,False,False,False,CAM,eng Premier League,14.68,12.85,22.31,1.68
Aurélien Tchouaméni,Real Madrid,26.0,MF,5481.0,0.018444401581637574,0.0,0.023977722056128845,0.008462725431574886,1.0979843765068955,0.17142443822933745,0.2679863053332048,2.1720995274375543,0.6629134921400328,1.4788070209277655,1.2976178995081493,0.14104542385958146,0.0,0.0,0.0,Aurélien Tchouaméni,70.0,2.0,26.0,False,False,True,False,False,False,False,False,True,False,False,False,False,CM,es La Liga,37.02,4.73,37.52,-32.98
