Rk,player,Nation,Pos,Squad,league,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Rk_sht,Nation_sht,Pos_sht,Age_sht,Born_sht,90s_sht,Gls_sht,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_sht,PKatt_sht,Matches_sht
444,Antonio Candreva,it ITA,MF,Salernitana,it Serie A,36,1987,34,32,2750,30.6,6,6,12,5,1,1,5,0,0.20,0.20,0.39,0.16,0.36,Matches,444,it ITA,MF,36,1987,30.6,6,65,21,32.3,2.13,0.69,0.09,0.29,1,1,Matches
446,Sergi Canós,es ESP,MF,Valencia,es La Liga,26,1997,27,15,1229,13.7,1,2,3,1,0,0,1,0,0.07,0.15,0.22,0.07,0.22,Matches,446,es ESP,MF,26,1997,13.7,1,43,17,39.5,3.15,1.24,0.02,0.06,0,0,Matches
449,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,35,1988,32,15,1455,16.2,1,1,2,1,0,0,8,0,0.06,0.06,0.12,0.06,0.12,Matches,449,fr FRA,MF,35,1988,16.2,1,14,5,35.7,0.87,0.31,0.07,0.20,0,0,Matches
451,Elia Caprile,it ITA,GK,Empoli,it Serie A,21,2001,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,451,it ITA,GK,21,2001,23.0,0,0,0,,0.00,0.00,,,0,0,Matches
452,Francesco Caputo,it ITA,FW,Empoli,it Serie A,35,1987,20,15,1268,14.1,3,0,3,2,1,1,0,0,0.21,0.00,0.21,0.14,0.14,Matches,452,it ITA,FW,35,1987,14.1,3,23,10,43.5,1.63,0.71,0.13,0.30,1,1,Matches
453,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23,2000,34,34,3022,33.6,1,3,4,1,0,0,1,0,0.03,0.09,0.12,0.03,0.12,Matches,453,fr FRA,MF,23,2000,33.6,1,24,9,37.5,0.71,0.27,0.04,0.11,0,0,Matches
454,Andrea Carboni,it ITA,DF,Monza,it Serie A,22,2001,21,16,1487,16.5,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,454,it ITA,DF,22,2001,16.5,1,18,4,22.2,1.09,0.24,0.06,0.25,0,0,Matches
455,Valentin Carboni,ar ARG,MF,Monza,it Serie A,18,2005,31,10,1169,13.0,2,3,5,2,0,0,2,0,0.15,0.23,0.38,0.15,0.38,Matches,455,ar ARG,MF,18,2005,13.0,2,23,7,30.4,1.77,0.54,0.09,0.29,0,0,Matches
456,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,30,1993,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,456,es ESP,DF,30,1993,29.0,0,10,3,30.0,0.34,0.10,0.00,0.00,0,0,Matches
459,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,28,1995,26,6,737,8.2,4,1,5,3,1,1,4,0,0.49,0.12,0.61,0.37,0.49,Matches,459,es ESP,FW,28,1995,8.2,4,22,11,50.0,2.69,1.34,0.18,0.36,1,1,Matches
460,Sergi Cardona,es ESP,DF,Las Palmas,es La Liga,24,1999,35,30,2814,31.3,1,2,3,1,0,0,11,0,0.03,0.06,0.10,0.03,0.10,Matches,460,es ESP,DF,24,1999,31.3,1,26,5,19.2,0.83,0.16,0.04,0.20,0,0,Matches
461,Johnny Cardoso,us USA,MF,Real Betis,es La Liga,21,2001,17,15,1328,14.8,1,2,3,1,0,0,3,0,0.07,0.14,0.20,0.07,0.20,Matches,461,us USA,MF,21,2001,14.8,1,12,3,25.0,0.81,0.20,0.08,0.33,0,0,Matches
463,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,30,1993,27,20,1816,20.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,463,br BRA,DF,30,1993,20.2,0,10,1,10.0,0.50,0.05,0.00,0.00,0,0,Matches
464,Carmona,es ESP,"MF,DF",Getafe,es La Liga,21,2002,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches,464,es ESP,"MF,DF",21,2002,14.6,1,12,3,25.0,0.82,0.21,0.08,0.33,0,0,Matches
465,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,23,2000,27,27,2425,26.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,465,it ITA,GK,23,2000,26.9,0,0,0,,0.00,0.00,,,0,0,Matches
468,Rasmus Carstensen,dk DEN,"DF,MF",Köln,de Bundesliga,22,2000,23,18,1659,18.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,468,dk DEN,"DF,MF",22,2000,18.4,0,10,4,40.0,0.54,0.22,0.00,0.00,0,0,Matches
470,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31,1992,28,25,2171,24.1,4,3,7,4,0,0,5,1,0.17,0.12,0.29,0.17,0.29,Matches,470,es ESP,DF,31,1992,24.1,4,18,10,55.6,0.75,0.41,0.22,0.40,0,0,Matches
472,William Carvalho,pt POR,MF,Real Betis,es La Liga,31,1992,22,4,680,7.6,1,3,4,1,0,0,2,0,0.13,0.40,0.53,0.13,0.53,Matches,472,pt POR,MF,31,1992,7.6,1,8,3,37.5,1.06,0.40,0.13,0.33,0,0,Matches
475,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25,1998,20,16,1559,17.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,475,it ITA,DF,25,1998,17.3,0,7,1,14.3,0.40,0.06,0.00,0.00,0,0,Matches
476,Casemiro,br BRA,"MF,DF",Manchester Utd,eng Premier League,31,1992,25,24,1982,22.0,1,2,3,1,0,0,7,0,0.05,0.09,0.14,0.05,0.14,Matches,476,br BRA,"MF,DF",31,1992,22.0,1,39,9,23.1,1.77,0.41,0.03,0.11,0,0,Matches
478,Matty Cash,pl POL,"DF,MF",Aston Villa,eng Premier League,25,1997,29,23,2142,23.8,2,2,4,2,0,0,8,0,0.08,0.08,0.17,0.08,0.17,Matches,478,pl POL,"DF,MF",25,1997,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,0,0,Matches
479,Josué Casimir,ht HAI,"MF,FW",Le Havre,fr Ligue 1,21,2001,30,25,2016,22.4,0,5,5,0,0,0,6,0,0.00,0.22,0.22,0.00,0.22,Matches,479,ht HAI,"MF,FW",21,2001,22.4,0,21,3,14.3,0.94,0.13,0.00,0.00,0,0,Matches
481,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,23,2000,32,23,1946,21.6,1,3,4,1,0,0,1,0,0.05,0.14,0.18,0.05,0.18,Matches,481,ve VEN,MF,23,2000,21.6,1,15,4,26.7,0.69,0.18,0.07,0.25,0,0,Matches
482,Timothy Castagne,be BEL,DF,Fulham,eng Premier League,27,1995,34,29,2634,29.3,1,3,4,1,0,0,3,0,0.03,0.10,0.14,0.03,0.14,Matches,482,be BEL,DF,27,1995,29.3,1,14,5,35.7,0.48,0.17,0.07,0.20,0,0,Matches
483,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,31,1992,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,483,be BEL,GK,31,1992,25.0,0,0,0,,0.00,0.00,,,0,0,Matches
484,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,24,1998,35,16,1682,18.7,4,3,7,4,0,0,2,0,0.21,0.16,0.37,0.21,0.37,Matches,484,ar ARG,FW,24,1998,18.7,4,54,20,37.0,2.89,1.07,0.07,0.20,0,0,Matches
485,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,28,1995,28,28,2464,27.4,2,0,2,2,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,485,cm CMR,DF,28,1995,27.4,2,10,6,60.0,0.37,0.22,0.20,0.33,0,0,Matches
486,Samu Castillejo,es ESP,"MF,FW",Sassuolo,it Serie A,28,1995,17,6,536,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,486,es ESP,"MF,FW",28,1995,6.0,0,6,2,33.3,1.01,0.34,0.00,0.00,0,0,Matches
490,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,28,1994,28,15,1361,15.1,1,0,1,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,Matches,490,it ITA,MF,28,1994,15.1,1,12,2,16.7,0.79,0.13,0.08,0.50,0,0,Matches
491,Catena,es ESP,DF,Osasuna,es La Liga,28,1994,30,28,2534,28.2,1,3,4,1,0,0,8,1,0.04,0.11,0.14,0.04,0.14,Matches,491,es ESP,DF,28,1994,28.2,1,18,5,27.8,0.64,0.18,0.06,0.20,0,0,Matches
492,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26,1997,20,20,1659,18.4,0,1,1,0,0,0,6,3,0.00,0.05,0.05,0.00,0.05,Matches,492,be BEL,DF,26,1997,18.4,0,6,1,16.7,0.33,0.05,0.00,0.00,0,0,Matches
493,Ivan Cavaleiro,pt POR,"MF,FW",Lille,fr Ligue 1,29,1993,17,9,770,8.6,1,1,2,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matches,493,pt POR,"MF,FW",29,1993,8.6,1,11,3,27.3,1.29,0.35,0.09,0.33,0,0,Matches
494,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,26,1996,20,5,598,6.6,0,2,2,0,0,0,2,0,0.00,0.30,0.30,0.00,0.30,Matches,494,es ESP,MF,26,1996,6.6,0,7,1,14.3,1.05,0.15,0.00,0.00,0,0,Matches
496,Zeki Çelik,tr TUR,"DF,MF",Roma,it Serie A,26,1997,17,6,671,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,496,tr TUR,"DF,MF",26,1997,7.5,0,2,1,50.0,0.27,0.13,0.00,0.00,0,0,Matches
497,Álex Centelles,es ESP,DF,Almería,es La Liga,25,1997,14,11,980,10.9,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,497,es ESP,DF,25,1997,10.9,0,2,1,50.0,0.18,0.09,0.00,0.00,0,0,Matches
498,Fabien Centonze,fr FRA,DF,Hellas Verona,it Serie A,27,1996,10,7,676,7.5,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,498,fr FRA,DF,27,1996,7.5,0,1,0,0.0,0.13,0.00,0.00,,0,0,Matches
500,Václav Černý,cz CZE,"MF,FW",Wolfsburg,de Bundesliga,25,1997,22,12,921,10.2,4,1,5,4,0,0,2,0,0.39,0.10,0.49,0.39,0.49,Matches,500,cz CZE,"MF,FW",25,1997,10.2,4,20,5,25.0,1.95,0.49,0.20,0.80,0,0,Matches
501,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,24,1999,8,7,675,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,501,it ITA,GK,24,1999,7.5,0,0,0,,0.00,0.00,,,0,0,Matches
502,Alberto Cerri,it ITA,FW,Empoli,it Serie A,27,1996,12,10,545,6.1,1,0,1,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches,502,it ITA,FW,27,1996,6.1,1,10,3,30.0,1.65,0.50,0.10,0.33,0,0,Matches
504,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,es La Liga,29,1994,17,5,546,6.1,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,504,ar ARG,"MF,DF",29,1994,6.1,0,9,1,11.1,1.48,0.16,0.00,0.00,0,0,Matches
505,Julian Chabot,de GER,DF,Köln,de Bundesliga,25,1998,32,32,2703,30.0,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,505,de GER,DF,25,1998,30.0,0,19,4,21.1,0.63,0.13,0.00,0.00,0,0,Matches
508,Fares Chaïbi,dz ALG,"MF,FW",Frankfurt,de Bundesliga,20,2002,28,21,1912,21.2,2,4,6,2,0,0,2,0,0.09,0.19,0.28,0.09,0.28,Matches,508,dz ALG,"MF,FW",20,2002,21.2,2,40,14,35.0,1.88,0.66,0.05,0.14,0,0,Matches
509,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,24,1999,13,10,952,10.6,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,509,eng ENG,DF,24,1999,10.6,1,2,2,100.0,0.19,0.19,0.50,0.50,0,0,Matches
510,Muhammed Cham,at AUT,"MF,FW",Clermont Foot,fr Ligue 1,22,2000,33,29,2554,28.4,8,4,12,4,4,5,4,0,0.28,0.14,0.42,0.14,0.28,Matches,510,at AUT,"MF,FW",22,2000,28.4,8,74,30,40.5,2.61,1.06,0.11,0.27,4,5,Matches
513,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,28,1994,33,33,2970,33.0,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,513,fr FRA,DF,28,1994,33.0,1,19,3,15.8,0.58,0.09,0.05,0.33,0,0,Matches
515,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,es La Liga,25,1998,22,12,1167,13.0,1,1,2,1,0,0,6,1,0.08,0.08,0.15,0.08,0.15,Matches,515,es ESP,"DF,MF",25,1998,13.0,1,11,2,18.2,0.85,0.15,0.09,0.50,0,0,Matches
517,Walid Cheddira,ma MAR,FW,Frosinone,it Serie A,25,1998,36,24,2120,23.6,7,1,8,6,1,1,0,0,0.30,0.04,0.34,0.25,0.30,Matches,517,ma MAR,FW,25,1998,23.6,7,60,28,46.7,2.55,1.19,0.12,0.25,1,1,Matches
518,Rayan Cherki,fr FRA,"MF,FW",Lyon,fr Ligue 1,19,2003,33,19,1719,19.1,1,6,7,1,0,0,0,0,0.05,0.31,0.37,0.05,0.37,Matches,518,fr FRA,"MF,FW",19,2003,19.1,1,57,17,29.8,2.98,0.89,0.02,0.06,0,0,Matches
520,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21,2001,33,33,2969,33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,520,fr FRA,GK,21,2001,33.0,0,0,0,,0.00,0.00,,,0,0,Matches
522,Federico Chiesa,it ITA,FW,Juventus,it Serie A,25,1997,33,25,2197,24.4,9,2,11,8,1,1,1,0,0.37,0.08,0.45,0.33,0.41,Matches,522,it ITA,FW,25,1997,24.4,9,74,27,36.5,3.03,1.11,0.12,0.33,1,1,Matches
523,Ben Chilwell,eng ENG,"MF,DF",Chelsea,eng Premier League,26,1996,13,9,756,8.4,0,1,1,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,523,eng ENG,"MF,DF",26,1996,8.4,0,12,4,33.3,1.43,0.48,0.00,0.00,0,0,Matches
525,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,26,1997,32,31,2594,28.8,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches,525,es ESP,MF,26,1997,28.8,1,17,6,35.3,0.59,0.21,0.06,0.17,0,0,Matches
527,Tahith Chong,cw CUW,"MF,FW",Luton Town,eng Premier League,23,1999,33,20,1982,22.0,4,0,4,4,0,0,4,0,0.18,0.00,0.18,0.18,0.18,Matches,527,cw CUW,"MF,FW",23,1999,22.0,4,30,7,23.3,1.36,0.32,0.13,0.57,0,0,Matches
528,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21,2001,31,30,2587,28.7,0,3,3,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,528,fr FRA,MF,21,2001,28.7,0,21,7,33.3,0.73,0.24,0.00,0.00,0,0,Matches
529,Andreas Christensen,dk DEN,"DF,MF",Barcelona,es La Liga,27,1996,30,27,1979,22.0,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,529,dk DEN,"DF,MF",27,1996,22.0,2,12,4,33.3,0.55,0.18,0.17,0.50,0,0,Matches
532,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,28,1995,37,35,2907,32.3,0,5,5,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,Matches,532,sct SCO,MF,28,1995,32.3,0,43,13,30.2,1.33,0.40,0.00,0.00,0,0,Matches
534,Samuel Chukwueze,ng NGA,"MF,FW",Milan,it Serie A,24,1999,24,12,1017,11.3,1,3,4,1,0,0,1,0,0.09,0.27,0.35,0.09,0.35,Matches,534,ng NGA,"MF,FW",24,1999,11.3,1,28,8,28.6,2.48,0.71,0.04,0.13,0,0,Matches
535,Chumi,es ESP,DF,Almería,es La Liga,24,1999,31,26,2434,27.0,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,535,es ESP,DF,24,1999,27.0,0,5,1,20.0,0.18,0.04,0.00,0.00,0,0,Matches
536,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23,2000,22,22,1864,20.7,0,1,1,0,0,0,3,2,0.00,0.05,0.05,0.00,0.05,Matches,536,es ESP,DF,23,2000,20.7,0,4,0,0.0,0.19,0.00,0.00,,0,0,Matches
537,Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,29,1994,31,16,1664,18.5,1,0,1,1,0,0,10,0,0.05,0.00,0.05,0.05,0.05,Matches,537,sn SEN,MF,29,1994,18.5,1,22,8,36.4,1.19,0.43,0.05,0.13,0,0,Matches
543,Patrick Ciurria,it ITA,MF,Monza,it Serie A,28,1995,22,18,1598,17.8,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,543,it ITA,MF,28,1995,17.8,0,28,7,25.0,1.58,0.39,0.00,0.00,0,0,Matches
545,Jordan Clark,eng ENG,MF,Luton Town,eng Premier League,29,1993,23,14,1304,14.5,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches,545,eng ENG,MF,29,1993,14.5,1,17,4,23.5,1.17,0.28,0.06,0.25,0,0,Matches
546,Alexis Claude-Maurice,fr FRA,MF,Nice,fr Ligue 1,25,1998,18,4,504,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,546,fr FRA,MF,25,1998,5.6,0,18,6,33.3,3.21,1.07,0.00,0.00,0,0,Matches
547,Jonathan Clauss,fr FRA,"DF,MF",Marseille,fr Ligue 1,30,1992,27,25,2068,23.0,3,4,7,3,0,0,2,1,0.13,0.17,0.30,0.13,0.30,Matches,547,fr FRA,"DF,MF",30,1992,23.0,3,28,8,28.6,1.22,0.35,0.11,0.38,0,0,Matches
549,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,32,1991,19,14,1338,14.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,549,eng ENG,DF,32,1991,14.9,0,4,0,0.0,0.27,0.00,0.00,,0,0,Matches
550,Marcus Coco,fr FRA,"MF,DF",Nantes,fr Ligue 1,27,1996,28,18,1481,16.5,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,550,fr FRA,"MF,DF",27,1996,16.5,1,9,3,33.3,0.55,0.18,0.11,0.33,0,0,Matches
551,Saúl Coco,gq EQG,DF,Las Palmas,es La Liga,24,1999,30,26,2295,25.5,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches,551,gq EQG,DF,24,1999,25.5,1,20,4,20.0,0.78,0.16,0.05,0.25,0,0,Matches
552,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34,1988,12,7,665,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,552,ie IRL,DF,34,1988,7.4,0,0,0,,0.00,0.00,,,0,0,Matches
553,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,31,1991,22,22,1832,20.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,553,fr FRA,DF,31,1991,20.4,0,6,0,0.0,0.29,0.00,0.00,,0,0,Matches
554,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,22,2001,32,29,2652,29.5,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,Matches,554,ie IRL,DF,22,2001,29.5,1,10,2,20.0,0.34,0.07,0.10,0.50,0,0,Matches
556,Lorenzo Colombo,it ITA,FW,Monza,it Serie A,21,2002,25,16,1359,15.1,4,1,5,4,0,0,3,0,0.26,0.07,0.33,0.26,0.33,Matches,556,it ITA,FW,21,2002,15.1,4,37,10,27.0,2.45,0.66,0.11,0.40,0,0,Matches
557,Andrea Colpani,it ITA,MF,Monza,it Serie A,24,1999,38,36,2657,29.5,8,4,12,8,0,0,1,0,0.27,0.14,0.41,0.27,0.41,Matches,557,it ITA,MF,24,1999,29.5,8,65,19,29.2,2.20,0.64,0.12,0.42,0,0,Matches
558,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,20,2003,23,20,1797,20.0,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,558,eng ENG,DF,20,2003,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,0,0,Matches
559,Kingsley Coman,fr FRA,MF,Bayern Munich,de Bundesliga,27,1996,17,15,1113,12.4,3,3,6,3,0,0,1,0,0.24,0.24,0.49,0.24,0.49,Matches,559,fr FRA,MF,27,1996,12.4,3,34,8,23.5,2.75,0.65,0.09,0.38,0,0,Matches
560,Eray Cömert,ch SUI,DF,Nantes,fr Ligue 1,25,1998,25,23,1995,22.2,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,560,ch SUI,DF,25,1998,22.2,2,9,3,33.3,0.41,0.14,0.22,0.67,0,0,Matches
561,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,26,1996,27,20,1653,18.4,2,0,2,2,0,0,8,2,0.11,0.00,0.11,0.11,0.11,Matches,561,es ESP,MF,26,1996,18.4,2,17,7,41.2,0.93,0.38,0.12,0.29,0,0,Matches
564,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36,1987,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,564,it ITA,GK,36,1987,35.0,0,0,0,,0.00,0.00,,,0,0,Matches
567,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26,1997,33,32,2786,31.0,0,3,3,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,Matches,567,eng ENG,MF,26,1997,31.0,0,12,4,33.3,0.39,0.13,0.00,0.00,0,0,Matches
568,Copete,es ESP,DF,Mallorca,es La Liga,23,1999,19,17,1333,14.8,1,1,2,1,0,0,7,0,0.07,0.07,0.14,0.07,0.14,Matches,568,es ESP,DF,23,1999,14.8,1,7,1,14.3,0.47,0.07,0.14,1.00,0,0,Matches
569,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19,2003,24,18,1634,18.2,2,0,2,2,0,0,9,0,0.11,0.00,0.11,0.11,0.11,Matches,569,it ITA,DF,19,2003,18.2,2,13,3,23.1,0.72,0.17,0.15,0.67,0,0,Matches
570,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,32,1991,17,10,910,10.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,570,fr FRA,MF,32,1991,10.1,0,3,0,0.0,0.30,0.00,0.00,,0,0,Matches
578,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,28,1995,32,14,1528,17.0,9,2,11,9,0,0,3,0,0.53,0.12,0.65,0.53,0.65,Matches,578,ar ARG,"FW,MF",28,1995,17.0,9,43,20,46.5,2.53,1.18,0.21,0.45,0,0,Matches
580,Thierry Correia,pt POR,DF,Valencia,es La Liga,24,1999,31,25,2154,23.9,0,2,2,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08,Matches,580,pt POR,DF,24,1999,23.9,0,5,2,40.0,0.21,0.08,0.00,0.00,0,0,Matches
582,Danny da Costa,de GER,"MF,DF",Mainz 05,de Bundesliga,30,1993,19,9,830,9.2,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,582,de GER,"MF,DF",30,1993,9.2,0,6,1,16.7,0.65,0.11,0.00,0.00,0,0,Matches
583,David Costa,pt POR,MF,Lens,fr Ligue 1,22,2001,25,17,1494,16.6,4,2,6,4,0,0,3,0,0.24,0.12,0.36,0.24,0.36,Matches,583,pt POR,MF,22,2001,16.6,4,30,14,46.7,1.81,0.84,0.13,0.29,0,0,Matches
584,Jaume Costa,es ESP,"DF,MF",Mallorca,es La Liga,35,1988,30,19,1682,18.7,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,584,es ESP,"DF,MF",35,1988,18.7,0,6,2,33.3,0.32,0.11,0.00,0.00,0,0,Matches
586,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,22,2001,31,29,2650,29.4,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches,586,cv CPV,DF,22,2001,29.4,1,14,4,28.6,0.48,0.14,0.07,0.25,0,0,Matches
587,Samu Costa,pt POR,MF,Mallorca,es La Liga,22,2000,34,26,2303,25.6,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,587,pt POR,MF,22,2000,25.6,1,22,3,13.6,0.86,0.12,0.05,0.33,0,0,Matches
588,Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36,1987,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,588,fr FRA,GK,36,1987,13.0,0,0,0,,0.00,0.00,,,0,0,Matches
590,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30,1992,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.00,0.20,0.20,0.00,0.20,Matches,590,cz CZE,DF,30,1992,34.8,0,8,2,25.0,0.23,0.06,0.00,0.00,0,0,Matches
591,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,27,1996,28,25,2082,23.1,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,591,ml MLI,MF,27,1996,23.1,0,13,3,23.1,0.56,0.13,0.00,0.00,0,0,Matches
594,Tanguy Coulibaly,fr FRA,"MF,FW",Montpellier,fr Ligue 1,22,2001,16,7,623,6.9,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,594,fr FRA,"MF,FW",22,2001,6.9,1,16,8,50.0,2.31,1.16,0.06,0.13,0,0,Matches
597,Yan Couto,br BRA,"MF,DF",Girona,es La Liga,21,2002,34,24,2245,24.9,1,8,9,1,0,0,8,0,0.04,0.32,0.36,0.04,0.36,Matches,597,br BRA,"MF,DF",21,2002,24.9,1,29,11,37.9,1.16,0.44,0.03,0.09,0,0,Matches
599,Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,24,1999,13,10,895,9.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,599,fr FRA,"DF,MF",24,1999,9.9,0,5,1,20.0,0.50,0.10,0.00,0.00,0,0,Matches
601,Crespo,pt POR,MF,Rayo Vallecano,es La Liga,26,1996,15,4,527,5.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,601,pt POR,MF,26,1996,5.9,0,3,0,0.0,0.51,0.00,0.00,,0,0,Matches
603,Bryan Cristante,it ITA,MF,Roma,it Serie A,28,1995,37,37,3289,36.5,3,4,7,3,0,0,8,0,0.08,0.11,0.19,0.08,0.19,Matches,603,it ITA,MF,28,1995,36.5,3,54,9,16.7,1.48,0.25,0.06,0.33,0,0,Matches
