Rk,player,Nation,Pos,Squad,league,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Rk_sht,Nation_sht,Pos_sht,Age_sht,Born_sht,90s_sht,Gls_sht,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_sht,PKatt_sht,Matches_sht
193,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20,2003,14,8,745,8.3,2,0,2,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,193,it ITA,"MF,FW",20,2003,8.3,2,14,6,42.9,1.69,0.72,0.14,0.33,0,0,Matches
194,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,20,2003,13,6,518,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,194,it ITA,"MF,FW",20,2003,5.8,0,15,3,20.0,2.61,0.52,0.00,0.00,0,0,Matches
195,Alejandro Balde,es ESP,"DF,MF",Barcelona,es La Liga,19,2003,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,195,es ESP,"DF,MF",19,2003,15.3,0,5,1,20.0,0.33,0.07,0.00,0.00,0,0,Matches
196,George Baldock,gr GRE,"DF,MF",Sheffield United,eng Premier League,30,1993,13,11,969,10.8,0,1,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,196,gr GRE,"DF,MF",30,1993,10.8,0,1,0,0.0,0.09,0.00,0.00,,0,0,Matches
198,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,19,2004,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,198,cm CMR,MF,19,2004,14.7,0,21,5,23.8,1.43,0.34,0.00,0.00,0,0,Matches
199,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24,1999,27,26,2271,25.2,2,0,2,2,0,0,6,1,0.08,0.00,0.08,0.08,0.08,Matches,199,ar ARG,DF,24,1999,25.2,2,14,4,28.6,0.55,0.16,0.14,0.50,0,0,Matches
200,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31,1992,33,32,2873,31.9,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,200,al ALB,DF,31,1992,31.9,0,11,4,36.4,0.34,0.13,0.00,0.00,0,0,Matches
202,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22,2001,29,19,1692,18.8,7,5,12,7,0,3,1,0,0.37,0.27,0.64,0.37,0.64,Matches,202,us USA,FW,22,2001,18.8,7,66,29,43.9,3.51,1.54,0.11,0.24,0,3,Matches
203,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,27,1996,27,24,1981,22.0,3,2,5,3,0,0,0,0,0.14,0.09,0.23,0.14,0.23,Matches,203,ci CIV,"MF,FW",27,1996,22.0,3,41,16,39.0,1.86,0.73,0.07,0.19,0,0,Matches
204,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,21,2001,16,14,1138,12.6,8,3,11,7,1,1,3,0,0.63,0.24,0.87,0.55,0.79,Matches,204,ci CIV,FW,21,2001,12.6,8,38,18,47.4,3.01,1.42,0.21,0.44,1,1,Matches
